three_letter_country_code,country_name,country_label
PLW,"Palau, Republic of",Palau
PAK,"Pakistan, Islamic Republic of",Pakistan
PAN,"Panama, Republic of",Panama
PNG,"Papua New Guinea, Independent State of",Papua New Guinea
PRY,"Paraguay, Republic of",Paraguay
PER,"Peru, Republic of",Peru
PHL,"Philippines, Republic of the",Philippines
PCN,Pitcairn Islands,Pitcairn Islands
POL,"Poland, Republic of",Poland
PRT,"Portugal, Portuguese Republic",Portugal
GNB,"Guinea-Bissau, Republic of",Guinea-Bissau
TLS,"Timor-Leste, Democratic Republic of",Timor-Leste
PRI,"Puerto Rico, Commonwealth of",Puerto Rico
QAT,"Qatar, State of",Qatar
REU,Reunion,Reunion
ROU,Romania,Romania
RUS,Russian Federation,Russian Federation
RWA,"Rwanda, Republic of",Rwanda
BLM,Saint Barthelemy,Saint Barthelemy
SHN,Saint Helena,Saint Helena
KNA,"Saint Kitts and Nevis, Federation of",Saint Kitts and Nevis
AIA,Anguilla,Anguilla
LCA,Saint Lucia,Saint Lucia
MAF,Saint Martin,Saint Martin
SPM,Saint Pierre and Miquelon,Saint Pierre and Miquelon
VCT,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
SMR,"San Marino, Republic of",San Marino
STP,"Sao Tome and Principe, Democratic Republic of",Sao Tome and Principe
SAU,"Saudi Arabia, Kingdom of",Saudi Arabia
SEN,"Senegal, Republic of",Senegal
SRB,"Serbia, Republic of",Serbia
SYC,"Seychelles, Republic of",Seychelles
SLE,"Sierra Leone, Republic of",Sierra Leone
SGP,"Singapore, Republic of",Singapore
SVK,Slovakia (Slovak Republic),Slovakia
VNM,"Vietnam, Socialist Republic of",Vietnam
SVN,"Slovenia, Republic of",Slovenia
SOM,"Somalia, Somali Republic",Somalia
ZAF,"South Africa, Republic of",South Africa
ZWE,"Zimbabwe, Republic of",Zimbabwe
ESP,"Spain, Kingdom of",Spain
SSD,South Sudan,South Sudan
ESH,Western Sahara,Western Sahara
SDN,"Sudan, Republic of",Sudan
SUR,"Suriname, Republic of",Suriname
SJM,Svalbard & Jan Mayen Islands,Svalbard & Jan Mayen Islands
SWZ,"Swaziland, Kingdom of",Swaziland
SWE,"Sweden, Kingdom of",Sweden
CHE,"Switzerland, Swiss Confederation",Switzerland
SYR,Syrian Arab Republic,Syrian Arab Republic
TJK,"Tajikistan, Republic of",Tajikistan
THA,"Thailand, Kingdom of",Thailand
TGO,"Togo, Togolese Republic",Togo
TKL,Tokelau,Tokelau
TON,"Tonga, Kingdom of",Tonga
TTO,"Trinidad and Tobago, Republic of",Trinidad and Tobago
ARE,United Arab Emirates,United Arab Emirates
TUN,"Tunisia, Tunisian Republic",Tunisia
TUR,"Turkey, Republic of",Turkey
TKM,Turkmenistan,Turkmenistan
TCA,Turks and Caicos Islands,Turks and Caicos Islands
TUV,Tuvalu,Tuvalu
UGA,"Uganda, Republic of",Uganda
UKR,Ukraine,Ukraine
MKD,"Macedonia, The Former Yugoslav Republic of",Macedonia
EGY,"Egypt, Arab Republic of",Egypt
GBR,United Kingdom of Great Britain & Northern Ireland,United Kingdom
GGY,"Guernsey, Bailiwick of",Guernsey
JEY,"Jersey, Bailiwick of",Jersey
IMN,Isle of Man,Isle of Man
TZA,"Tanzania, United Republic of",Tanzania
USA,United States of America,United States
VIR,United States Virgin Islands,United States Virgin Islands
BFA,Burkina Faso,Burkina Faso
URY,"Uruguay, Eastern Republic of",Uruguay
UZB,"Uzbekistan, Republic of",Uzbekistan
VEN,"Venezuela, Bolivarian Republic of",Venezuela
WLF,Wallis and Futuna,Wallis and Futuna
WSM,"Samoa, Independent State of",Samoa
YEM,Yemen,Yemen
ZMB,"Zambia, Republic of",Zambia
,Disputed Territory,Disputed Territory
,Iraq-Saudi Arabia Neutral Zone,Iraq-Saudi Arabia Neutral Zone
,United Nations Neutral Zone,United Nations Neutral Zone
,Spratly Islands,Spratly Islands
